Student ID,student_name,gender,grade,school_name,reading_score,math_score
108,Ryan Lynch,M,12th,Huang High School,77.0,67.0
109,Timothy Marks,M,9th,Huang High School,78.0,62.0
110,Alexander Johns,M,10th,Huang High School,67.0,77.0
111,Kenneth Chavez,M,9th,Huang High School,70.0,79.0
112,Dennis Williams,M,10th,Huang High School,88.0,67.0
113,Michael Roy,M,12th,Huang High School,85.0,73.0
114,Richard Ryan,M,12th,Huang High School,88.0,86.0
115,Matthew Reyes,M,12th,Huang High School,79.0,60.0
116,Stephanie Ward,F,11th,Huang High School,75.0,69.0
117,Christopher Tucker,M,10th,Huang High School,80.0,90.0
118,Daniel Jones,M,12th,Huang High School,66.0,68.0
119,Devin Craig,M,10th,Huang High School,65.0,80.0
120,Erin Prince,F,12th,Huang High School,88.0,81.0
121,Bernard Ortiz,M,11th,Huang High School,78.0,76.0
122,Nicole Miller,F,10th,Huang High School,98.0,57.0
123,Christopher Fritz,M,9th,Huang High School,88.0,77.0
124,Bonnie Mckinney,F,11th,Huang High School,63.0,65.0
125,Troy Nelson,M,11th,Huang High School,79.0,63.0
126,Jennifer Lee,F,12th,Huang High School,93.0,66.0
127,Ronald Ward,M,10th,Huang High School,74.0,89.0
128,Nathaniel Hampton,M,11th,Huang High School,70.0,81.0
129,Michael Travis,M,11th,Huang High School,65.0,79.0
130,James Taylor,M,9th,Huang High School,77.0,71.0
131,Thomas Strickland,M,9th,Huang High School,63.0,77.0
132,Brittany Jackson,F,9th,Huang High School,79.0,57.0
133,Marisa Lowe,F,9th,Huang High School,95.0,95.0
134,Nicole Thomas,F,9th,Huang High School,83.0,59.0
135,Matthew Rodriguez,M,12th,Huang High School,80.0,79.0
136,Kent Fernandez,M,12th,Huang High School,66.0,58.0
137,Michelle Martin,F,12th,Huang High School,86.0,92.0
138,John Sparks,M,9th,Huang High School,74.0,91.0
139,Ann Blake,F,11th,Huang High School,97.0,75.0
140,Melissa Miller,F,12th,Huang High School,76.0,67.0
141,Steven Houston,M,9th,Huang High School,99.0,71.0
142,Kristen Anderson,F,11th,Huang High School,78.0,76.0
143,Cory Jones,M,11th,Huang High School,82.0,73.0
144,Jennifer Mora,F,10th,Huang High School,98.0,73.0
145,Dennis Griffin,M,9th,Huang High School,78.0,71.0
146,Darryl Brown,M,10th,Huang High School,98.0,90.0
147,Martin Mosley,M,10th,Huang High School,90.0,67.0
148,Joyce Diaz,F,10th,Huang High School,85.0,58.0
149,Jeffrey Rose,M,12th,Huang High School,81.0,91.0
150,Jamie Moreno,F,9th,Huang High School,78.0,99.0
151,Catherine Williams,F,9th,Huang High School,66.0,56.0
152,Lauren Byrd,F,11th,Huang High School,66.0,92.0
153,Vanessa Frazier,F,10th,Huang High School,85.0,82.0
154,Stephen Bryant,M,11th,Huang High School,83.0,77.0
155,Lawrence Liu,M,12th,Huang High School,82.0,73.0
156,Joseph Larsen,M,9th,Huang High School,88.0,82.0
157,Susan Collier,F,11th,Huang High School,76.0,92.0
158,Meagan Jensen,F,9th,Huang High School,66.0,67.0
159,Julie Harper,F,12th,Huang High School,88.0,73.0
160,Meghan Carroll,F,12th,Huang High School,75.0,98.0
161,Wanda Horton,F,11th,Huang High School,68.0,88.0
162,Mary Campbell,F,10th,Huang High School,72.0,56.0
163,Jennifer Rodgers,F,11th,Huang High School,83.0,98.0
164,Heather Cooper,F,12th,Huang High School,85.0,61.0
165,Ryan Perez,M,11th,Huang High School,70.0,87.0
166,Ryan Cox,M,12th,Huang High School,95.0,72.0
167,Darren Zavala,M,10th,Huang High School,64.0,84.0
168,Joseph Morales III,M,10th,Huang High School,64.0,85.0
169,Aaron West,M,10th,Huang High School,98.0,67.0
170,James Combs,M,10th,Huang High School,65.0,82.0
171,Curtis Garner,M,10th,Huang High School,79.0,78.0
172,Sarah Miller,F,10th,Huang High School,94.0,71.0
173,Samantha Thomas,F,10th,Huang High School,92.0,62.0
174,Robert Atkins,M,9th,Huang High School,85.0,97.0
175,Alexis Crawford,M,10th,Huang High School,70.0,82.0
176,Ryan Maddox,M,11th,Huang High School,80.0,80.0
177,Jonathan Meyer,M,9th,Huang High School,65.0,79.0
178,Donna Wagner,F,10th,Huang High School,95.0,61.0
179,William Kennedy,M,11th,Huang High School,76.0,56.0
180,Kimberly Martinez,F,11th,Huang High School,84.0,83.0
181,Matthew Anderson,M,11th,Huang High School,92.0,99.0
182,Kari Miller,F,9th,Huang High School,88.0,55.0
183,Jenna Luna,F,9th,Huang High School,73.0,91.0
184,Justin Contreras,M,12th,Huang High School,89.0,63.0
185,Mary Fox,F,11th,Huang High School,94.0,92.0
186,Joseph Perkins,M,10th,Huang High School,96.0,76.0
187,Kelly Phillips,F,12th,Huang High School,78.0,90.0
188,Justin Thornton,M,11th,Huang High School,65.0,61.0
189,Joshua Barber,M,10th,Huang High School,77.0,61.0
190,Travis Jackson,M,11th,Huang High School,86.0,96.0
191,Jordan Beasley,F,10th,Huang High School,96.0,59.0
192,Kevin Allen,M,12th,Huang High School,68.0,63.0
193,Victoria Harris,F,11th,Huang High School,89.0,59.0
194,Victoria Joseph,F,12th,Huang High School,72.0,56.0
195,Brandy Marshall,F,11th,Huang High School,86.0,60.0
196,Ryan Jimenez,M,11th,Huang High School,63.0,89.0
197,Michael Chan,M,9th,Huang High School,63.0,69.0
198,Christopher Phillips,M,9th,Huang High School,86.0,55.0
199,Kevin Murphy,M,10th,Huang High School,85.0,99.0
200,Vanessa Harper,F,12th,Huang High School,85.0,85.0
201,James Ferguson,M,9th,Huang High School,96.0,66.0
202,Carol Schroeder,F,12th,Huang High School,83.0,61.0
203,Jerry Phillips,M,10th,Huang High School,82.0,72.0
204,Kristin Wade,F,9th,Huang High School,71.0,56.0
205,Jessica Warner,F,11th,Huang High School,94.0,83.0
206,Dorothy Burke,F,11th,Huang High School,91.0,92.0
207,Bethany Walter,F,9th,Huang High School,88.0,76.0
208,Melissa Avery,F,9th,Huang High School,83.0,86.0
209,Daniel Sutton,M,11th,Huang High School,86.0,96.0
210,Ryan Johnson,M,9th,Huang High School,63.0,79.0
211,Timothy Quinn,M,10th,Huang High School,83.0,76.0
212,Zachary Allen,M,10th,Huang High School,64.0,87.0
213,Lauren Schmitt,F,12th,Huang High School,71.0,61.0
214,Stephanie Armstrong,F,11th,Huang High School,70.0,66.0
215,Ruben Rivera,M,9th,Huang High School,65.0,79.0
216,Patricia Petty,F,12th,Huang High School,79.0,98.0
217,Joseph Jacobs,M,11th,Huang High School,96.0,68.0
218,Bianca Wilson,F,11th,Huang High School,66.0,62.0
219,Donald Perez,M,9th,Huang High School,87.0,79.0
220,Curtis Gomez,M,9th,Huang High School,77.0,77.0
221,Courtney Brown,F,9th,Huang High School,90.0,88.0
222,Nicole Randall,F,9th,Huang High School,94.0,78.0
223,Steven Lambert,M,11th,Huang High School,64.0,56.0
224,Anthony Alvarez,M,10th,Huang High School,93.0,90.0
225,Shawn Farrell,M,10th,Huang High School,89.0,87.0
226,Jesus Schmidt,M,9th,Huang High School,80.0,76.0
227,Laura Wright,F,12th,Huang High School,89.0,69.0
228,Steven Smith,M,11th,Huang High School,66.0,65.0
229,Norman Thompson,M,9th,Huang High School,99.0,78.0
230,Anthony Wright,M,10th,Huang High School,76.0,64.0
231,Kayla Watts,F,11th,Huang High School,74.0,89.0
232,Aimee Johnson,F,9th,Huang High School,97.0,55.0
233,Heidi Scott,F,12th,Huang High School,77.0,98.0
234,Anthony Williams,M,10th,Huang High School,78.0,93.0
235,Sarah Hill,F,12th,Huang High School,88.0,97.0
236,Kim Wang,F,9th,Huang High School,90.0,71.0
237,Beth Manning,F,11th,Huang High School,88.0,92.0
238,Ryan Hanson,M,12th,Huang High School,87.0,83.0
239,James Wood,M,9th,Huang High School,70.0,81.0
240,Corey Greene,M,10th,Huang High School,70.0,94.0
241,John Carter,M,11th,Huang High School,95.0,83.0
242,Beth Garza,F,11th,Huang High School,75.0,92.0
243,Karen Jones,F,9th,Huang High School,78.0,96.0
244,Stephanie Poole,F,10th,Huang High School,95.0,59.0
245,Lisa Brown,F,9th,Huang High School,99.0,72.0
246,Paul Scott,M,10th,Huang High School,64.0,78.0
247,Evelyn Buck,F,10th,Huang High School,68.0,60.0
248,Terry Harrell,M,9th,Huang High School,86.0,69.0
249,Leah Skinner,F,11th,Huang High School,70.0,79.0
250,Anthony Mercado,M,11th,Huang High School,95.0,97.0
251,Walter Kelly,M,9th,Huang High School,80.0,78.0
252,Lori Evans,F,10th,Huang High School,99.0,66.0
253,Ashley Jones,F,12th,Huang High School,96.0,72.0
254,Amber Soto,F,9th,Huang High School,82.0,60.0
255,Patrick Phillips,M,10th,Huang High School,64.0,62.0
256,Linda Curry,F,11th,Huang High School,74.0,76.0
257,Alexander Obrien,M,10th,Huang High School,68.0,90.0
258,Vincent Garza,M,10th,Huang High School,97.0,61.0
259,Terry Marsh,M,11th,Huang High School,99.0,69.0
260,Angela Perkins grade,F,11th,Huang High School,76.0,56.0
261,Peter Hampton,M,9th,Huang High School,83.0,97.0
262,David Cross,M,11th,Huang High School,68.0,61.0
263,Clinton Ortega,M,10th,Huang High School,93.0,62.0
264,Jamie Escobar,F,10th,Huang High School,91.0,91.0
265,Sandra Mason,F,12th,Huang High School,76.0,83.0
266,Craig Cole,M,12th,Huang High School,83.0,92.0
267,Lisa Warren,F,12th,Huang High School,70.0,81.0
268,Maria Howard,F,9th,Huang High School,74.0,91.0
269,Michael Porter,M,11th,Huang High School,86.0,68.0
270,John Turner,M,11th,Huang High School,78.0,99.0
271,Timothy Wang,M,12th,Huang High School,93.0,75.0
272,Amanda Taylor,F,9th,Huang High School,73.0,58.0
273,Karen Mckenzie,F,9th,Huang High School,82.0,64.0
274,Brandon Miles,M,11th,Huang High School,98.0,76.0
275,Christina Whitaker,F,12th,Huang High School,86.0,89.0
276,Nicole Peterson,F,9th,Huang High School,78.0,98.0
277,Ashley Moore,F,9th,Huang High School,67.0,74.0
278,Todd Carrillo,M,10th,Huang High School,80.0,99.0
279,Robert Williams,M,10th,Huang High School,63.0,68.0
280,Ashley Jones,F,9th,Huang High School,92.0,72.0
281,Vanessa Parker,F,9th,Huang High School,67.0,78.0
282,Robert Carlson,M,12th,Huang High School,73.0,82.0
283,Jared Lewis,M,10th,Huang High School,77.0,56.0
284,Christopher Hernandez,M,10th,Huang High School,92.0,64.0
285,Kimberly Harris,F,9th,Huang High School,66.0,59.0
286,Katrina Hill,F,10th,Huang High School,73.0,73.0
287,Heather Lee,F,9th,Huang High School,71.0,69.0
288,Donald Harmon,M,11th,Huang High School,63.0,67.0
289,Elizabeth Sanders,F,10th,Huang High School,82.0,64.0
290,Richard Ramsey,M,12th,Huang High School,80.0,60.0
291,Carmen Johnson,F,12th,Huang High School,89.0,79.0
292,Elaine Osborne,F,10th,Huang High School,91.0,69.0
293,Kent Burns,M,9th,Huang High School,81.0,72.0
294,Meagan Smith,F,11th,Huang High School,67.0,87.0
295,Craig Hahn,M,9th,Huang High School,92.0,73.0
296,Jeremy Wu,M,11th,Huang High School,72.0,81.0
297,Aaron Rodriguez,M,11th,Huang High School,75.0,78.0
298,Matthew Taylor,M,10th,Huang High School,64.0,63.0
299,Diana Evans,F,11th,Huang High School,96.0,94.0
300,Michele Pearson,F,12th,Huang High School,89.0,98.0
301,Erik Wagner,M,12th,Huang High School,92.0,61.0
302,Maria Welch,F,12th,Huang High School,74.0,97.0
303,Debra Martin,F,12th,Huang High School,68.0,55.0
304,Devon Conner,M,9th,Huang High School,91.0,89.0
305,Christine Patel,F,9th,Huang High School,99.0,94.0
306,David Lopez,M,9th,Huang High School,95.0,95.0
307,Nathan Baird,M,11th,Huang High School,68.0,59.0
308,Samuel Castillo,M,11th,Huang High School,98.0,57.0
309,Rebecca Payne,F,11th,Huang High School,77.0,66.0
310,Carl Johnson,M,10th,Huang High School,64.0,95.0
311,William Adams,M,12th,Huang High School,85.0,82.0
312,Paula Harrison,F,11th,Huang High School,81.0,91.0
313,Wayne Atkinson,M,11th,Huang High School,86.0,63.0
314,Lindsay Frank,F,9th,Huang High School,92.0,66.0
315,Jose Garcia,M,10th,Huang High School,67.0,84.0
316,Andrew Gaines,M,12th,Huang High School,68.0,87.0
317,Rachael Liu,F,10th,Huang High School,77.0,79.0
318,Donald Lewis,M,11th,Huang High School,72.0,72.0
319,Shane Edwards,M,9th,Huang High School,74.0,59.0
320,Todd Levy,M,12th,Huang High School,91.0,94.0
321,Joanna Moore,F,10th,Huang High School,84.0,66.0
322,Michael Lewis,M,9th,Huang High School,98.0,90.0
323,James Robinson,M,9th,Huang High School,91.0,60.0
324,Jeffrey Arellano,M,9th,Huang High School,89.0,87.0
325,Heather Allen grade,F,11th,Huang High School,96.0,94.0
326,Lori Villarreal,F,9th,Huang High School,66.0,81.0
327,Robert Harper,M,12th,Huang High School,78.0,85.0
328,Karen Villegas,F,9th,Huang High School,76.0,57.0
329,Tracey Crane,F,9th,Huang High School,77.0,97.0
330,Elizabeth Allen,F,9th,Huang High School,73.0,77.0
331,Jorge Lynn,M,11th,Huang High School,93.0,66.0
332,Harold Gordon,M,11th,Huang High School,98.0,66.0
333,Nicholas Mcclain,M,9th,Huang High School,76.0,90.0
334,Tanya Harris,F,11th,Huang High School,85.0,86.0
335,Amy Smith,F,12th,Huang High School,93.0,93.0
336,Kathy Morse,F,11th,Huang High School,64.0,91.0
337,Andrea Wood,F,10th,Huang High School,77.0,70.0
338,Maureen Massey,F,9th,Huang High School,98.0,76.0
339,Daniel Smith,M,11th,Huang High School,66.0,81.0
340,Alexandra Smith,F,11th,Huang High School,78.0,77.0
341,Caitlin Hall,F,11th,Huang High School,72.0,58.0
342,Jose Carlson,M,11th,Huang High School,90.0,91.0
343,Deborah Macias,F,9th,Huang High School,90.0,87.0
344,Dwayne Rice,M,11th,Huang High School,99.0,78.0
345,Matthew Harris,M,10th,Huang High School,69.0,80.0
346,Eric Bowman,M,9th,Huang High School,80.0,94.0
347,Samuel Ali,M,9th,Huang High School,66.0,91.0
348,David Miller,M,12th,Huang High School,70.0,92.0
349,James Moreno,M,11th,Huang High School,89.0,63.0
350,Brooke Austin,F,11th,Huang High School,78.0,98.0
351,Alisha Martin,F,10th,Huang High School,65.0,68.0
352,Neil Rodriguez,M,10th,Huang High School,98.0,69.0
353,Gary Williams,M,10th,Huang High School,73.0,56.0
354,Michael Pittman,M,12th,Huang High School,89.0,60.0
355,Stephanie Palmer,F,10th,Huang High School,85.0,91.0
356,Christine Perry,F,11th,Huang High School,92.0,97.0
357,Suzanne David,F,10th,Huang High School,83.0,62.0
358,Amber Smith,F,12th,Huang High School,82.0,75.0
359,Ryan Jones,M,9th,Huang High School,94.0,62.0
360,Emily Ford,F,9th,Huang High School,79.0,61.0
361,Kelsey Shea,F,12th,Huang High School,85.0,66.0
362,Katherine Wallace,F,12th,Huang High School,65.0,56.0
363,Erica Conway,F,11th,Huang High School,79.0,72.0
364,Tyler Parker,M,11th,Huang High School,88.0,56.0
365,Michael Parks,M,9th,Huang High School,93.0,58.0
366,Elizabeth Hunt,F,12th,Huang High School,91.0,58.0
367,Grant Jackson,M,11th,Huang High School,78.0,61.0
368,Daniel Matthews,M,9th,Huang High School,78.0,78.0
369,Diana Silva,F,9th,Huang High School,69.0,82.0
370,Frank Garza,M,11th,Huang High School,84.0,95.0
371,Terri Fischer,F,10th,Huang High School,68.0,55.0
372,Robert Goodwin,M,12th,Huang High School,95.0,92.0
373,Bobby Ruiz,M,10th,Huang High School,65.0,97.0
374,Stephanie Taylor,F,12th,Huang High School,75.0,97.0
375,Erin Hill,F,10th,Huang High School,68.0,98.0
376,Erin Cohen,F,10th,Huang High School,71.0,74.0
377,Jeffrey Morris,M,9th,Huang High School,84.0,57.0
378,Elizabeth Simpson,F,10th,Huang High School,97.0,63.0
379,Jennifer Davis,F,11th,Huang High School,96.0,68.0
380,Rachel Burton,F,9th,Huang High School,75.0,75.0
381,Joseph Wilkins,M,9th,Huang High School,66.0,95.0
382,Lawrence Montgomery,M,11th,Huang High School,87.0,70.0
383,Patricia Howard,F,11th,Huang High School,70.0,65.0
384,Jessica Hanson,F,11th,Huang High School,84.0,55.0
385,Donna Dean,F,10th,Huang High School,98.0,77.0
386,Edwin Reid,M,9th,Huang High School,69.0,57.0
387,Jodi Brown,F,12th,Huang High School,70.0,85.0
388,Elizabeth Richard,F,9th,Huang High School,90.0,88.0
389,Aaron Martinez,M,9th,Huang High School,85.0,72.0
390,Stephen Fischer,M,9th,Huang High School,81.0,88.0
391,Diana Reeves,F,11th,Huang High School,86.0,83.0
392,Jeffrey Eaton,M,10th,Huang High School,99.0,90.0
393,Evelyn Miller,F,9th,Huang High School,65.0,71.0
394,Christopher Kidd,M,9th,Huang High School,97.0,55.0
395,Sarah Adams,F,9th,Huang High School,91.0,62.0
396,Melinda Nelson,F,12th,Huang High School,75.0,82.0
397,Kevin Brooks,M,11th,Huang High School,78.0,72.0
398,John Bowen,M,12th,Huang High School,77.0,56.0
399,Tracie Abbott,F,12th,Huang High School,72.0,69.0
400,Allen Foster,M,11th,Huang High School,93.0,65.0
401,Kathryn Elliott,F,12th,Huang High School,63.0,91.0
402,Christopher Walker,M,12th,Huang High School,94.0,66.0
403,Cynthia Martin,F,11th,Huang High School,67.0,59.0
404,Amanda Bennett,F,11th,Huang High School,88.0,97.0
405,Dennis Padilla,M,11th,Huang High School,92.0,93.0
406,Antonio Miller,M,11th,Huang High School,63.0,63.0
407,Melissa Trevino,F,11th,Huang High School,71.0,56.0
408,Andrew King,M,10th,Huang High School,99.0,80.0
409,John Martinez,M,11th,Huang High School,68.0,76.0
410,Lauren King,F,9th,Huang High School,74.0,82.0
411,Stephanie Mercado,F,9th,Huang High School,93.0,98.0
412,William Smith,M,11th,Huang High School,69.0,94.0
413,Jonathan Marshall,M,12th,Huang High School,86.0,72.0
414,Luke Lowery grade,M,10th,Huang High School,93.0,82.0
415,Emily Reynolds,F,9th,Huang High School,88.0,99.0
416,Kevin Mclean,M,9th,Huang High School,86.0,80.0
417,Elizabeth Taylor,F,11th,Huang High School,97.0,84.0
418,Pamela Rivas,F,11th,Huang High School,84.0,58.0
419,Tammy Martin,F,9th,Huang High School,84.0,64.0
420,Holly Watkins,F,9th,Huang High School,81.0,74.0
421,Patrick Chen,M,9th,Huang High School,67.0,79.0
422,Michelle Griffin,F,10th,Huang High School,85.0,81.0
423,Theresa Andrews,F,12th,Huang High School,65.0,58.0
424,Alan Henry,M,9th,Huang High School,63.0,81.0
425,grade Larry Hines,M,10th,Huang High School,91.0,59.0
426,Travis Frazier,M,12th,Huang High School,75.0,68.0
427,Julie Jones,F,12th,Huang High School,74.0,68.0
428,Natalie Reynolds,F,10th,Huang High School,77.0,70.0
429,Jessica Cohen,F,10th,Huang High School,69.0,98.0
430,Jason Robinson,M,12th,Huang High School,69.0,95.0
431,Heather Palmer,F,9th,Huang High School,78.0,57.0
432,Emily Cardenas grade,F,10th,Huang High School,77.0,87.0
433,Scott Glover,M,12th,Huang High School,65.0,92.0
434,Jacqueline White,F,12th,Huang High School,68.0,67.0
435,grade. Elizabeth Espinoza grade,F,9th,Huang High School,76.0,75.0
436,Toni Porter,F,11th,Huang High School,92.0,72.0
437,Jennifer Mejia,F,11th,Huang High School,90.0,59.0
438,Brenda Peterson,F,10th,Huang High School,75.0,78.0
439,Paul Hamilton,M,9th,Huang High School,73.0,72.0
440,Patricia Nguyen,F,11th,Huang High School,83.0,56.0
441,James Ho,M,12th,Huang High School,86.0,61.0
442,Elizabeth Cohen,F,10th,Huang High School,97.0,61.0
443,Stephanie Lane,F,9th,Huang High School,70.0,57.0
444,Dawn Rhodes,F,12th,Huang High School,67.0,66.0
445,Theresa Robinson,F,10th,Huang High School,63.0,65.0
446,Breanna Mosley,F,9th,Huang High School,85.0,79.0
447,Carmen Wilson,F,10th,Huang High School,69.0,92.0
448,Ian Brown,M,9th,Huang High School,77.0,71.0
449,Kathleen Matthews,F,11th,Huang High School,96.0,60.0
450,Bryan Diaz,M,11th,Huang High School,64.0,84.0
451,Gina Sweeney,F,11th,Huang High School,81.0,59.0
452,Alan Garcia,M,10th,Huang High School,88.0,60.0
453,Erik Wheeler,M,10th,Huang High School,94.0,58.0
454,Stephanie Robles,F,9th,Huang High School,83.0,95.0
455,Samantha Hanson,F,9th,Huang High School,83.0,61.0
456,Christopher Williams,M,11th,Huang High School,89.0,83.0
457,Stephanie Hart,F,12th,Huang High School,94.0,63.0
458,grade. Lisa Becker,F,11th,Huang High School,84.0,68.0
459,Bianca Johnson,F,9th,Huang High School,92.0,68.0
460,Amy Steele,F,12th,Huang High School,67.0,63.0
461,Gina Contreras,F,9th,Huang High School,92.0,92.0
462,Jaime Alexander,F,10th,Huang High School,93.0,77.0
463,Kevin Coleman,M,12th,Huang High School,88.0,77.0
464,Caitlin Williams,F,10th,Huang High School,98.0,79.0
465,Joseph Lloyd,M,9th,Huang High School,81.0,89.0
466,Carrie Hernandez,F,11th,Huang High School,86.0,92.0
467,grade Travis Young,M,10th,Huang High School,81.0,61.0
468,Francis Wright,M,12th,Huang High School,63.0,92.0
469,Joel Harper,M,9th,Huang High School,99.0,94.0
470,Eduardo Park,M,9th,Huang High School,67.0,62.0
471,Melissa Yoder,F,10th,Huang High School,95.0,74.0
472,Donna Campbell,F,9th,Huang High School,82.0,64.0
473,Connie Delacruz,F,9th,Huang High School,64.0,58.0
